SurfingLeash S/N = A007
Start Latitude (degs N) = 56.453320
Start Longitude (degs E) = -5.436660
Date = 2026-06-01
Time (UTC), Latitude (degs N), Longitude (degs E), Temp (deg C) DS18B20
07:34:11, 56.453320, -5.436660, 11.563
07:34:16, 56.453293, -5.436652, 11.563
07:34:21, 56.453281, -5.436622, 11.625
07:34:26, 56.453342, -5.436526, 11.563
07:34:31, 56.453381, -5.436642, 11.563
07:34:36, 56.453388, -5.436643, 11.563
07:34:41, 56.453388, -5.436646, 11.563
07:34:46, 56.453396, -5.436646, 11.563
07:34:51, 56.453396, -5.436643, 11.625
07:34:56, 56.453403, -5.436650, 11.563
07:35:01, 56.453403, -5.436653, 11.625
07:35:06, 56.453403, -5.436658, 11.563
07:35:11, 56.453403, -5.436668, 11.563
07:35:16, 56.453403, -5.436668, 11.625
07:35:21, 56.453403, -5.436668, 11.563
07:35:26, 56.453403, -5.436668, 11.563
07:35:31, 56.453403, -5.436668, 11.563
07:35:36, 56.453403, -5.436668, 11.625
07:35:41, 56.453403, -5.436668, 11.563
07:35:46, 56.453403, -5.436668, 11.563
07:35:51, 56.453403, -5.436668, 11.563
07:35:56, 56.453403, -5.436668, 11.625
07:36:01, 56.453403, -5.436668, 11.625
07:36:06, 56.453403, -5.436668, 11.563
07:36:11, 56.453403, -5.436666, 11.563
07:36:16, 56.453407, -5.436665, 11.563
07:36:21, 56.453407, -5.436663, 11.563
07:36:26, 56.453407, -5.436663, 11.625
07:36:31, 56.453407, -5.436663, 11.563
07:36:36, 56.453407, -5.436663, 11.563
07:36:41, 56.453407, -5.436662, 11.563
07:36:46, 56.453407, -5.436662, 11.563
07:36:52, 56.453407, -5.436662, 11.625
07:36:57, 56.453407, -5.436662, 11.563
07:37:02, 56.453407, -5.436660, 11.563
07:37:07, 56.453407, -5.436660, 11.625
07:37:12, 56.453407, -5.436658, 11.625
07:37:17, 56.453407, -5.436658, 11.625
07:37:22, 56.453407, -5.436658, 11.625
07:37:27, 56.453407, -5.436660, 11.625
07:37:32, 56.453407, -5.436650, 11.625
07:37:37, 56.453407, -5.436650, 11.625
07:37:42, 56.453407, -5.436646, 11.625
07:37:47, 56.453407, -5.436643, 11.625
07:37:52, 56.453407, -5.436640, 11.625
07:37:57, 56.453407, -5.436638, 11.625
07:38:02, 56.453407, -5.436636, 11.563
07:38:07, 56.453407, -5.436636, 11.625
07:38:12, 56.453407, -5.436635, 11.625
07:38:17, 56.453407, -5.436636, 11.625
07:38:22, 56.453403, -5.436643, 11.625
07:38:27, 56.453403, -5.436653, 11.625
07:38:32, 56.453396, -5.436687, 11.625
07:38:37, 56.453388, -5.436727, 11.500
07:38:42, 56.453377, -5.436790, 11.313
07:38:47, 56.453369, -5.436850, 11.125
07:38:52, 56.453358, -5.436916, 11.188
07:38:57, 56.453342, -5.436985, 11.313
07:39:02, 56.453331, -5.437053, 11.438
07:39:07, 56.453323, -5.437111, 11.500
07:39:12, 56.453320, -5.437145, 11.563
07:39:17, 56.453320, -5.437146, 11.563
07:39:22, 56.453323, -5.437103, 11.625
07:39:27, 56.453320, -5.437033, 11.625
07:39:32, 56.453304, -5.436933, 11.563
07:39:37, 56.453293, -5.436840, 11.563
07:39:42, 56.453274, -5.436717, 11.563
07:39:47, 56.453262, -5.436580, 11.625
07:39:52, 56.453262, -5.436433, 11.625
07:39:57, 56.453255, -5.436270, 11.625
07:40:02, 56.453266, -5.436101, 11.625
07:40:07, 56.453293, -5.435952, 11.625
07:40:12, 56.453331, -5.435796, 11.625
07:40:17, 56.453388, -5.435638, 11.625
07:40:22, 56.453461, -5.435480, 11.625
07:40:27, 56.453537, -5.435337, 11.625
07:40:32, 56.453613, -5.435193, 11.625
07:40:37, 56.453701, -5.435056, 11.625
07:40:42, 56.453785, -5.434920, 11.625
07:40:47, 56.453876, -5.434798, 11.625
07:40:52, 56.453964, -5.434673, 11.625
07:40:57, 56.454060, -5.434543, 11.625
07:41:02, 56.454163, -5.434428, 11.625
07:41:07, 56.454258, -5.434311, 11.625
07:41:12, 56.454353, -5.434192, 11.625
07:41:17, 56.454445, -5.434065, 11.625
07:41:22, 56.454533, -5.433933, 11.625
07:41:27, 56.454632, -5.433796, 11.625
07:41:32, 56.454708, -5.433646, 11.625
07:41:37, 56.454777, -5.433488, 11.563
07:41:42, 56.454830, -5.433301, 11.563
07:41:47, 56.454861, -5.433106, 11.500
07:41:52, 56.454868, -5.432913, 11.500
07:41:57, 56.454872, -5.432705, 11.438
