Secchi Depth (cm) = 0470
Forel Ule Scale = 15
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.44829
Longitude (degs E) = -5.24618
Date = 2026-05-29
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED A-SAT, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU A-SAT
11:31:55, 1005.30, 12.84, 13.04, 12.398, 274, 350, 560, 532, 658, 767, 815, 718, 706, 329, 225, 1409, 821, 0, 0, 135, 197, 338, 314, 383, 460, 505, 439, 429, 214, 137, 830, 497, 0, 0
11:31:55, 1005.20, 12.85, 13.00, 12.398, 275, 350, 560, 533, 659, 767, 816, 718, 706, 329, 225, 1410, 821, 0, 0, 135, 197, 339, 314, 384, 461, 506, 439, 429, 214, 138, 831, 498, 0, 0
11:31:56, 1005.20, 12.85, 13.02, 12.398, 275, 350, 560, 533, 659, 768, 816, 718, 706, 329, 225, 1411, 821, 0, 0, 136, 197, 339, 315, 384, 463, 506, 440, 430, 215, 138, 834, 498, 0, 0
11:31:56, 1005.10, 12.86, 13.06, 12.383, 276, 351, 561, 534, 661, 770, 817, 719, 708, 330, 226, 1418, 824, 0, 0, 136, 198, 341, 317, 387, 466, 509, 442, 433, 216, 139, 839, 501, 0, 0
11:31:56, 1005.30, 12.86, 13.02, 12.383, 277, 353, 564, 537, 664, 772, 821, 722, 710, 331, 227, 1424, 828, 0, 0, 137, 199, 343, 318, 388, 467, 512, 444, 435, 217, 139, 841, 503, 0, 0
11:31:57, 1005.30, 12.86, 13.06, 12.383, 278, 354, 566, 540, 666, 774, 824, 724, 713, 332, 228, 1430, 832, 0, 0, 137, 200, 344, 319, 390, 469, 514, 446, 436, 218, 140, 844, 504, 0, 0
11:31:57, 1005.20, 12.86, 13.02, 12.383, 278, 355, 568, 541, 668, 775, 826, 726, 714, 333, 228, 1434, 836, 0, 0, 137, 200, 345, 319, 390, 469, 514, 447, 437, 218, 140, 844, 505, 0, 0
11:31:57, 1005.10, 12.87, 13.00, 12.383, 278, 355, 568, 542, 669, 775, 827, 727, 715, 333, 228, 1435, 837, 0, 0, 138, 200, 345, 320, 391, 470, 515, 448, 438, 218, 140, 846, 506, 0, 0
11:31:58, 1005.10, 12.86, 13.04, 12.383, 279, 355, 569, 542, 670, 775, 826, 728, 715, 333, 228, 1437, 838, 0, 0, 138, 201, 346, 320, 391, 470, 516, 448, 438, 218, 140, 846, 506, 0, 0
11:31:58, 1005.10, 12.87, 13.04, 12.383, 279, 355, 569, 543, 670, 776, 828, 729, 716, 333, 229, 1438, 839, 0, 0, 138, 201, 346, 320, 391, 471, 516, 448, 438, 218, 140, 846, 506, 0, 0
11:31:58, 1005.10, 12.87, 13.00, 12.383, 279, 355, 570, 543, 671, 776, 828, 729, 716, 333, 229, 1438, 839, 0, 0, 138, 201, 346, 320, 391, 471, 516, 449, 438, 218, 140, 847, 506, 0, 0
11:31:58, 1005.10, 12.87, 13.06, 12.383, 279, 355, 570, 542, 671, 776, 828, 729, 716, 333, 229, 1438, 839, 0, 0, 138, 201, 346, 320, 391, 471, 516, 449, 439, 218, 140, 847, 506, 0, 0
11:31:59, 1005.10, 12.87, 13.00, 12.383, 279, 355, 570, 543, 671, 776, 828, 729, 716, 333, 229, 1438, 839, 0, 0, 138, 201, 346, 321, 392, 471, 517, 449, 439, 219, 140, 848, 507, 0, 0
11:31:59, 1005.20, 12.87, 13.06, 12.383, 279, 355, 570, 543, 671, 776, 828, 729, 716, 333, 229, 1438, 839, 0, 0, 138, 202, 347, 321, 392, 472, 518, 450, 439, 219, 141, 849, 507, 0, 0
11:31:59, 1005.00, 12.87, 13.07, 12.383, 279, 356, 570, 544, 671, 776, 829, 729, 716, 334, 229, 1440, 838, 0, 0, 139, 202, 347, 322, 393, 473, 518, 450, 440, 219, 141, 851, 508, 0, 0
11:32:00, 1005.10, 12.87, 13.04, 12.383, 280, 356, 570, 544, 672, 777, 829, 730, 717, 334, 229, 1442, 840, 0, 0, 139, 202, 348, 322, 394, 474, 519, 451, 441, 220, 141, 851, 509, 0, 0
11:32:00, 1005.10, 12.87, 13.02, 12.383, 280, 356, 571, 545, 672, 777, 830, 730, 718, 334, 229, 1442, 841, 0, 0, 139, 202, 348, 322, 394, 474, 519, 451, 441, 220, 141, 852, 509, 0, 0
11:32:00, 1005.20, 12.87, 13.02, 12.375, 280, 356, 571, 545, 672, 777, 830, 731, 718, 334, 229, 1443, 842, 0, 0, 138, 202, 348, 322, 393, 472, 519, 451, 440, 219, 141, 850, 509, 0, 0
11:32:01, 1005.30, 12.87, 13.07, 12.375, 280, 356, 571, 545, 672, 777, 830, 731, 718, 334, 229, 1441, 841, 0, 0, 138, 201, 347, 321, 392, 470, 517, 449, 439, 218, 140, 847, 508, 0, 0
11:32:01, 1005.30, 12.87, 13.04, 12.375, 280, 356, 571, 544, 671, 777, 830, 731, 717, 334, 229, 1438, 839, 0, 0, 137, 200, 345, 319, 390, 467, 515, 448, 436, 217, 139, 842, 506, 0, 0
11:32:01, 1005.20, 12.87, 13.07, 12.383, 279, 356, 571, 542, 669, 776, 829, 729, 716, 333, 228, 1431, 837, 0, 0, 136, 198, 342, 316, 386, 463, 511, 444, 432, 215, 138, 835, 502, 0, 0
11:32:01, 1005.20, 12.87, 13.04, 12.383, 278, 354, 568, 539, 666, 774, 826, 727, 714, 332, 228, 1422, 832, 0, 0, 135, 197, 340, 314, 384, 461, 507, 440, 430, 214, 138, 832, 499, 0, 0
11:32:02, 1005.00, 12.87, 13.04, 12.383, 277, 353, 566, 537, 663, 772, 824, 725, 713, 331, 227, 1417, 828, 0, 0, 135, 197, 339, 314, 384, 462, 507, 440, 430, 215, 138, 834, 499, 0, 0
11:32:02, 1005.10, 12.87, 13.06, 12.383, 277, 352, 565, 536, 662, 772, 822, 724, 712, 331, 227, 1417, 825, 0, 0, 136, 198, 340, 316, 386, 465, 508, 441, 432, 216, 139, 838, 500, 0, 0
11:32:02, 1005.40, 12.87, 13.11, 12.383, 278, 354, 566, 538, 664, 774, 823, 724, 713, 332, 228, 1423, 827, 0, 0, 137, 199, 343, 318, 388, 467, 510, 444, 435, 217, 139, 842, 503, 0, 0
11:32:03, 1005.20, 12.87, 13.07, 12.383, 278, 355, 568, 540, 666, 776, 826, 727, 715, 333, 227, 1429, 831, 0, 0, 138, 200, 344, 319, 390, 469, 514, 446, 437, 218, 140, 845, 505, 0, 0
11:32:03, 1005.20, 12.88, 13.09, 12.383, 279, 356, 569, 541, 668, 777, 828, 728, 717, 333, 229, 1432, 833, 0, 0, 138, 201, 345, 320, 391, 470, 515, 447, 437, 218, 140, 847, 506, 0, 0
11:32:03, 1005.20, 12.87, 13.11, 12.375, 279, 356, 571, 542, 669, 778, 830, 729, 718, 334, 229, 1434, 835, 0, 0, 138, 201, 346, 320, 392, 471, 516, 448, 438, 219, 140, 848, 507, 0, 0
