Secchi Depth (cm) = 0435
Forel Ule Scale = 16
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.45936
Longitude (degs E) = -5.31473
Date = 2026-06-01
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED GAINS, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU GAINS
13:07:40, 991.40, 16.00, 15.92, 16.359, 3087, 3715, 4772, 5718, 6104, 7562, 7256, 6712, 7257, 4269, 3386, 11811, 9544, 0, 4, 64, 94, 164, 153, 189, 248, 254, 224, 217, 124, 67, 432, 289, 0, 4
13:07:40, 991.50, 16.00, 15.96, 16.383, 3076, 3703, 4771, 5701, 6089, 7544, 7255, 6712, 7238, 4255, 3372, 11793, 9546, 0, 4, 64, 94, 163, 153, 189, 247, 253, 223, 216, 123, 66, 431, 287, 0, 4
13:07:41, 991.60, 16.01, 15.96, 16.383, 3076, 3714, 4767, 5717, 6091, 7548, 7246, 6694, 7255, 4245, 3372, 11791, 9536, 0, 4, 64, 93, 163, 152, 188, 246, 252, 222, 215, 123, 66, 429, 286, 0, 4
13:07:41, 991.60, 16.02, 15.97, 16.383, 3073, 3700, 4762, 5696, 6073, 7542, 7239, 6688, 7233, 4240, 3367, 11777, 9524, 0, 4, 63, 93, 162, 151, 187, 244, 250, 221, 214, 122, 66, 427, 285, 0, 4
13:07:41, 991.30, 16.02, 15.96, 16.383, 3065, 3693, 4752, 5683, 6062, 7530, 7233, 6679, 7221, 4231, 3356, 11748, 9505, 0, 4, 64, 93, 161, 152, 187, 245, 250, 221, 214, 123, 66, 429, 284, 0, 4
13:07:42, 991.60, 16.02, 15.99, 16.406, 3063, 3687, 4745, 5670, 6052, 7527, 7222, 6669, 7212, 4228, 3354, 11734, 9482, 0, 4, 64, 94, 162, 153, 189, 247, 252, 222, 216, 123, 66, 432, 287, 0, 4
13:07:42, 991.60, 16.02, 15.96, 16.406, 3073, 3697, 4746, 5682, 6060, 7545, 7222, 6668, 7226, 4242, 3367, 11744, 9475, 0, 4, 64, 94, 163, 153, 189, 246, 252, 223, 216, 123, 66, 431, 288, 0, 4
13:07:42, 991.60, 16.03, 15.99, 16.406, 3067, 3690, 4756, 5669, 6053, 7540, 7236, 6681, 7215, 4245, 3360, 11731, 9490, 0, 4, 64, 94, 163, 153, 189, 247, 252, 223, 216, 124, 66, 433, 287, 0, 4
13:07:43, 991.60, 16.03, 15.97, 16.437, 3066, 3686, 4745, 5663, 6058, 7539, 7221, 6675, 7209, 4246, 3358, 11727, 9458, 0, 4, 65, 94, 163, 154, 190, 249, 253, 224, 217, 124, 67, 435, 288, 0, 4
13:07:43, 991.60, 16.03, 15.99, 16.437, 3067, 3691, 4748, 5672, 6066, 7540, 7227, 6680, 7217, 4246, 3358, 11739, 9466, 0, 4, 65, 94, 164, 154, 190, 249, 254, 224, 218, 124, 67, 435, 289, 0, 4
13:07:43, 991.50, 16.03, 15.96, 16.437, 3066, 3692, 4748, 5674, 6070, 7540, 7229, 6680, 7217, 4246, 3357, 11745, 9472, 0, 4, 65, 94, 164, 154, 190, 249, 255, 225, 218, 124, 67, 436, 289, 0, 4
13:07:43, 991.60, 16.03, 15.97, 16.437, 3064, 3691, 4747, 5672, 6070, 7536, 7227, 6679, 7215, 4243, 3355, 11741, 9471, 0, 4, 65, 94, 164, 154, 191, 249, 255, 225, 218, 124, 67, 436, 289, 0, 4
13:07:44, 991.50, 16.03, 15.97, 16.461, 3062, 3689, 4743, 5667, 6065, 7533, 7223, 6674, 7210, 4242, 3352, 11737, 9466, 0, 4, 65, 94, 164, 154, 190, 249, 255, 225, 218, 124, 67, 436, 289, 0, 4
13:07:44, 991.80, 16.03, 15.99, 16.461, 3061, 3687, 4740, 5667, 6064, 7530, 7220, 6671, 7207, 4240, 3351, 11735, 9462, 0, 4, 65, 94, 165, 154, 190, 249, 255, 225, 218, 124, 67, 435, 289, 0, 4
13:07:44, 991.60, 16.03, 15.96, 16.461, 3060, 3686, 4740, 5666, 6064, 7531, 7219, 6669, 7205, 4238, 3350, 11737, 9463, 0, 4, 65, 95, 164, 154, 191, 249, 255, 225, 218, 124, 67, 436, 289, 0, 4
13:07:45, 991.50, 16.03, 15.97, 16.477, 3061, 3686, 4740, 5667, 6065, 7533, 7219, 6670, 7206, 4240, 3351, 11743, 9465, 0, 4, 65, 95, 164, 154, 191, 249, 254, 225, 218, 125, 67, 436, 289, 0, 4
13:07:45, 991.60, 16.03, 15.96, 16.477, 3060, 3674, 4741, 5653, 6056, 7532, 7219, 6671, 7190, 4240, 3349, 11746, 9468, 0, 4, 65, 94, 164, 154, 190, 249, 255, 225, 218, 125, 67, 436, 289, 0, 4
13:07:45, 991.60, 16.03, 15.96, 16.477, 3058, 3683, 4739, 5665, 6063, 7529, 7218, 6667, 7201, 4237, 3347, 11742, 9466, 0, 4, 65, 94, 164, 154, 190, 249, 255, 225, 218, 124, 67, 435, 289, 0, 4
13:07:46, 991.60, 16.03, 16.04, 16.500, 3057, 3682, 4737, 5663, 6063, 7527, 7214, 6665, 7198, 4235, 3345, 11737, 9463, 0, 4, 65, 94, 164, 154, 190, 249, 255, 225, 218, 124, 67, 435, 289, 0, 4
13:07:46, 991.60, 16.03, 15.99, 16.500, 3050, 3677, 4733, 5654, 6053, 7516, 7209, 6660, 7189, 4228, 3336, 11715, 9452, 0, 4, 64, 94, 164, 154, 190, 248, 254, 224, 217, 124, 67, 434, 289, 0, 4
13:07:46, 991.50, 16.03, 16.03, 16.500, 3038, 3667, 4726, 5633, 6036, 7500, 7198, 6647, 7171, 4215, 3320, 11668, 9425, 0, 4, 64, 94, 164, 153, 189, 247, 253, 224, 216, 123, 66, 431, 288, 0, 4
