Secchi Depth (cm) = 0623
Forel Ule Scale = 09
pH Colour Scale = 99
SensingSecchi S/N = A012
Latitude (degs N) = 56.46103
Longitude (degs E) = -5.44666
Date = 2026-06-01
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 405nm, ED 425nm, ED 450nm, ED 475nm, ED 515nm, ED 550nm, ED 555nm, ED 600nm, ED 640nm, ED 690nm, ED 745nm, ED Clear, ED NIR 855nm, ED D-SAT, ED GAINS, EU 405nm, EU 425nm, EU 450nm, EU 475nm, EU 515nm, EU 550nm, EU 555nm, EU 600nm, EU 640nm, EU 690nm, EU 745nm, EU Clear, EU NIR 855nm, EU D-SAT, EU GAINS
14:27:48, 991.60, 16.22, 16.61, 15.383, 5056, 6034, 7209, 9277, 9658, 11819, 11028, 10324, 11542, 6845, 5929, 17074, 13942, 0, 4, 60, 90, 156, 152, 190, 259, 251, 226, 226, 123, 66, 439, 293, 0, 4
14:27:48, 991.50, 16.23, 16.56, 15.383, 5047, 6024, 7206, 9265, 9645, 11804, 11025, 10322, 11522, 6835, 5915, 17047, 13945, 0, 4, 60, 89, 155, 151, 189, 258, 251, 225, 225, 123, 66, 437, 293, 0, 4
14:27:49, 991.50, 16.24, 16.58, 15.391, 5024, 5993, 7196, 9220, 9608, 11768, 11014, 10307, 11464, 6804, 5886, 17003, 13924, 0, 4, 60, 89, 155, 150, 188, 257, 249, 224, 224, 122, 66, 435, 291, 0, 4
14:27:49, 991.50, 16.24, 16.59, 15.391, 5026, 5999, 7180, 9225, 9607, 11754, 10990, 10284, 11471, 6802, 5887, 16972, 13890, 0, 4, 60, 89, 154, 150, 188, 257, 249, 224, 223, 122, 66, 435, 290, 0, 4
14:27:49, 991.40, 16.24, 16.58, 15.391, 5020, 5987, 7161, 9209, 9591, 11740, 10963, 10256, 11446, 6798, 5883, 16961, 13852, 0, 4, 60, 89, 154, 150, 188, 257, 249, 223, 223, 122, 66, 435, 290, 0, 4
14:27:50, 991.50, 16.24, 16.58, 15.391, 5026, 5990, 7158, 9213, 9598, 11754, 10966, 10253, 11447, 6809, 5887, 16983, 13856, 0, 4, 60, 89, 154, 150, 188, 257, 249, 223, 223, 122, 66, 435, 290, 0, 4
14:27:50, 991.50, 16.24, 16.61, 15.391, 5027, 5992, 7162, 9216, 9607, 11760, 10981, 10258, 11444, 6814, 5889, 16993, 13876, 0, 4, 59, 89, 154, 150, 188, 256, 248, 223, 223, 122, 66, 434, 290, 0, 4
14:27:50, 991.60, 16.24, 16.58, 15.391, 5021, 5985, 7165, 9204, 9595, 11751, 10986, 10256, 11427, 6807, 5880, 16976, 13882, 0, 4, 59, 89, 154, 150, 188, 256, 248, 223, 223, 122, 66, 434, 289, 0, 4
14:27:51, 991.30, 16.24, 16.58, 15.391, 5010, 5980, 7159, 9194, 9581, 11734, 10973, 10242, 11412, 6794, 5866, 16939, 13861, 0, 4, 59, 88, 153, 149, 187, 255, 247, 222, 222, 121, 65, 433, 289, 0, 4
14:27:51, 991.70, 16.25, 16.56, 15.398, 4996, 5964, 7148, 9167, 9557, 11706, 10955, 10219, 11383, 6780, 5847, 16904, 13832, 0, 4, 59, 88, 153, 149, 187, 254, 247, 222, 221, 121, 65, 429, 288, 0, 4
